phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
comes,314,0.011321101028865868,0.004834189631013545,0.004944899689177734,207,105
aspx,313,0.016059575853127898,0.004834189631013545,0.004991993971931808,207,106
inittogether,313,1.0,0.0,0.014740510502025054,0,313
cities,313,-0.22925404007505376,0.005558150397010742,0.0034849769238014506,238,74
guide,313,-0.14168666811617242,0.005324614666043905,0.004003014034096261,228,85
approved,313,0.33126552471518506,0.0036431574030826716,0.007252519544127343,156,154
michigan,312,-0.2978308216819443,0.005744978981784213,0.0031082226617688614,246,66
failed,312,-0.40639628108148074,0.006025221858944418,0.002543091268719977,258,54
defeat,311,0.42007147762032593,0.003269500233535731,0.008006028068192521,140,170
economic impact,310,0.1495339344033376,0.004320411022886501,0.005839691061505134,185,124
families first,310,0.14293414857714262,0.0043437645959831855,0.00579259677875106,186,123
anyone,310,-0.1733776244886396,0.005347968239140588,0.0037675426203258922,229,80
numbers,309,0.17451129881882366,0.004203643157403083,0.005980973909767354,180,127
beyond,309,0.06752415399823516,0.004483886034563288,0.005133276820194028,192,109
event,309,-0.16521897351696296,0.005324614666043905,0.003814636903079966,228,81
rights,309,-0.19603462195602792,0.005394675385333956,0.0036262597720636714,231,77
covidー19,309,0.30505787707028914,0.0037365716954694066,0.007017048130356975,160,149
meeting,309,0.1296413949661253,0.004390471742176553,0.005698408213242912,188,121
nothing,309,0.06885699347287107,0.00455394675385334,0.005227465385702176,195,111
despite,308,-0.1388117935722618,0.0052312003736571695,0.003955919751342187,224,84
happy,308,0.021074870875282002,0.00474077533862681,0.004944899689177734,203,105
domestic,307,-0.16912026339004077,0.005301261092947221,0.0037675426203258922,227,80
expanded,307,-0.15060810464296048,0.0052312003736571695,0.0038617311858340398,224,82
19 outbreak,306,0.45328533443187785,0.0030826716487622604,0.008194405199208816,132,174
covid 19 outbreak,306,0.45328533443187785,0.0030826716487622604,0.008194405199208816,132,174
least,306,-0.3388174529339783,0.005721625408687529,0.0028256569652444193,245,60
impacted covid19,305,0.02851456610506814,0.004670714619336758,0.004944899689177734,200,105
significant,305,0.18643484442350988,0.004133582438113031,0.006028068192521428,177,128
counties,305,-0.12414362340846906,0.005137786081270434,0.004003014034096261,220,85
send,305,-0.03870080575772824,0.004834189631013545,0.004473956861636997,207,95
spending,304,0.15226932898250586,0.004226996730499767,0.005745502495996986,181,122
contact tracing,304,-0.7622513966904908,0.006632414759458197,0.0008947913723273994,284,19
assistance program,304,0.551266608098684,0.0026156001868285848,0.009042102288782142,112,192
attention,303,0.12520473663992518,0.004320411022886501,0.005557125364980691,185,118
exposed,303,-0.1727798718586001,0.0052078468005604854,0.003673354054817745,223,78
ncov,303,-0.06424536218971108,0.00492760392340028,0.004332674013374776,211,92
first coronavirus,302,0.22971955779793773,0.003923400280242877,0.0062635396062917965,168,133
worse,302,-0.2728967966366344,0.005441382531527324,0.0031082226617688614,233,66
weather,302,-0.168406436013711,0.005161139654367118,0.003673354054817745,221,78
general,302,0.009102130052428816,0.004670714619336758,0.004756522558161439,200,101
sick leave,301,-0.4642240466057513,0.005791686127977581,0.0021192427239333147,248,45
dial,301,-0.32227322143489123,0.005604857543204111,0.002872751247998493,240,61
west,301,0.2487271004049477,0.0038533395609528258,0.006404822454554017,165,136
chain,301,0.41720778696596994,0.003176085941148996,0.0077234623716680795,136,164
pushing,301,-0.4005521626820407,0.005721625408687529,0.00244890270321183,245,52
https www cdc gov,299,-0.07044461055420917,0.0048808967772069126,0.004238485447866629,209,90
heard,299,-0.24407899231000083,0.005347968239140588,0.0032495055100310822,229,69
died,299,-0.6316723897081592,0.006258757589911256,0.0014128284826222096,268,30
coronavirus cases,299,-0.21584881833873085,0.005184493227463802,0.0033436940755392297,222,71
among,299,-0.04986849420132385,0.004787482484820177,0.004332674013374776,205,92
https www cdc,299,-0.07044461055420917,0.0048808967772069126,0.004238485447866629,209,90
weekend,298,-0.20899448472893692,0.005254553946753854,0.003437882641047377,225,73
nj,298,-0.8068712694628388,0.006609061186361513,0.0007064142413111048,283,15
push,298,0.019201374765456025,0.004577300326950024,0.004756522558161439,196,101
covid19 amp,298,-0.20034280972747837,0.0052312003736571695,0.0034849769238014506,224,74
working families,298,-0.5621382148252992,0.006048575432041102,0.0016953941791466515,259,36
disproportionately,298,-0.8056302762846241,0.006562354040168146,0.0007064142413111048,281,15
2019 ncov,298,-0.08398624092958809,0.004904250350303597,0.004144296882358482,210,88
plans,298,-0.1282179370741011,0.004997664642690331,0.0038617311858340398,214,82
